번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
K1364,"아치의 노래, 정태춘",인물|뮤직,2022,34053,A,10355
K1365,복숭아나무,멜로드라마,2012,33884,K,13238
K1366,"메밀꽃, 운수 좋은 날, 그리고 봄봄",드라마,2014,33751,K,14342
K1367,만신,SF|드라마,2014,33481,A,05965
K1368,I AM.,뮤직|인물,2012,32988,A,05743
K1369,괴기맨숀,공포,2021,32752,K,24492
K1370,극장판 우당탕탕 은하안전단: 진정한 용기!,어드벤처,2023,32369,K,35372
K1371,대결,액션|드라마,2016,32278,K,15635
K1372,써클,드라마|범죄|미스터리|스릴러,2003,32256,K,06067
K1373,섬,드라마,2000,32137,K,05219
K1402,너와 나,드라마,2023,31905,K,33102
K1374,뿌까의 짜장면파티,아동,2022,31882,A,11118
K1375,극장판 프리파라 모두 모여라! 프리즘☆투어즈,아동|판타지,2016,31843,K,15762
K1376,썬키스 패밀리,코메디|멜로/로맨스|가족,2019,31742,K,19691
K1377,꼭두각시,공포|스릴러,2013,31713,K,13806
K1378,네번째 층 - 어느날 갑자기 두번째 이야기,공포(호러)|옴니버스,2006,31654,K,08176
K1379,그랜드파더,액션|드라마,2016,31640,K,15539
K1380,고백,드라마|범죄,2021,31616,K,22837
K1381,노회찬6411,인물,2021,31560,A,10224
K1382,날나리 종부전,코메디,2008,31522,K,09561
K1383,비투비 타임 : 비투게더 더 무비,뮤직|인물,2023,31412,A,12532
K1384,소명 3 - 히말라야의 슈바이처,인물,2011,31265,A,05505
K1385,휴머니스트,코메디|드라마|범죄,2001,31256,K,05424
K1386,런딤'네서스의 반란',액션|SF|아동|가족,2001,31185,K,05521
K1387,여섯개의 시선,드라마|옴니버스,2003,31171,K,06064
K1085,극장판 안녕 자두야: 제주도의 비밀,어드벤처,2022,31161,K,28448
K1388,어떤 시선,드라마,2013,31048,K,13956
K1389,몬스타엑스 : 더 드리밍,뮤직|인물,2021,30912,A,10650
K1390,다른 나라에서,드라마,2012,30590,K,13122
K1391,찍히면 죽는다,공포(호러)|하이틴(고교)|미스터리|스릴러,2000,30130,K,05256
K1392,안녕하세요,드라마,2022,30095,K,28827
K1393,소명 2: 모겐족의 월드컵,문화|자연ㆍ환경,2010,29694,A,05054
K1394,춘희막이,인물,2015,29473,A,06413
K1395,극장판 윌벤져스: 수상한 캠핑대소동,어드벤처|아동,2022,29432,K,29022
K1396,역모 - 반란의 시대,시대극/사극|액션|무협,2017,29294,K,16520
K1397,잉여들의 히치하이킹,드라마|로드무비,2013,29281,A,05972
K1398,폭력써클,액션|드라마,2006,29110,K,07416
K1399,"다시, 봄",드라마,2019,29048,K,19850
K1400,캐리tv 러브콘서트 더 무비,아동|뮤지컬,2019,28679,A,09062
K1401,대통령의 7시간,사회|인물|역사|종교,2019,28636,A,09224
K1403,시간(타임),드라마,2006,28414,K,07333
K1404,파울볼,인물|스포츠,2015,28324,A,06279
K1405,아이언 팜,액션|코메디|드라마,2002,28196,K,05582
K1406,무림 여대생,멜로드라마|액션|코메디,2008,28019,K,07494
K1407,마리안느와 마가렛,인물|지역,2017,28016,A,06574
K1408,찬실이는 복도 많지,드라마|멜로/로맨스|판타지,2020,27974,K,21475
K1409,그리스 로마 신화 - 올림포스 가디언 - 기간테스 대역습,액션|아동|판타지,2005,27830,K,06194
K1410,페어러브,멜로드라마|드라마,2010,27521,K,10899
K1411,괴담만찬,공포|옴니버스,2023,27389,K,31737
K1412,클럽 버터플라이,멜로드라마|드라마,2001,27205,K,05416
K1413,파수꾼,드라마,2011,27091,K,12565
K1414,해피 투게더,드라마|코메디,2018,27046,K,17658
K1415,4요일(자살을 부르는 요일),공포|스릴러,2008,26840,K,10061
K1416,수색자,스릴러,2021,26794,K,24932
K1417,하피,공포(호러)|하이틴(고교)|미스터리|스릴러,2000,26591,K,05253
K1418,집 나온 남자들,코메디|드라마,2010,26319,K,10434
K1419,쥬라기캅스 극장판: 공룡시대 대모험,어드벤처,2022,26188,K,30755
K1420,사채소년,액션|하이틴(고교),2023,25775,K,35400
K1421,노랑머리2,드라마|사회물(경향),2001,25747,K,05467
K1422,판소리 복서,코메디|드라마|스포츠,2019,25739,K,20600
K1423,마이 샤이니 월드,뮤직|인물,2023,25729,A,12505
K1424,당신의 부탁,드라마|가족|코메디,2018,25652,K,16432
K1425,그 사람 그 사랑 그 세상,드라마,2014,25649,A,06222
