번호,kmdb제목,kmdb장르,개봉연도,관객수,movie_id,movie_seq
F1620,텍사스 전기톱 연쇄살인사건:0,공포(호러),2007,106724,F,20083
F1621,스파이 게임,액션|드라마|첩보|스릴러,2002,106627,F,07833
F1622,우리가 꿈꾸는 기적: 인빅터스,드라마|전기|스포츠,2010,106443,F,26238
F1623,프리덤,드라마|가족,2015,106241,F,35073
F1624,워터호스,어드벤처|가족|판타지,2008,106028,F,21624
F1625,코러스,드라마|뮤직,2005,105920,F,09739
F1626,더 시그널,SF|액션|스릴러,2014,105818,F,32950
F1627,공주와 개구리,멜로드라마,2010,105654,F,26082
F1628,바람이 분다,드라마,2013,105650,F,31270
F1629,스마일,공포|미스터리|스릴러,2022,105500,F,56719
F1630,니드 포 스피드,드라마|액션|범죄,2014,105340,F,32582
F1631,신부들의 전쟁,코메디|멜로드라마,2009,105202,F,23830
F1632,스타워즈: 클론전쟁,액션|SF|어드벤처,2008,105151,F,22502
F1633,미래의 미라이,판타지|어드벤처|드라마|가족,2019,104950,F,44991
F1634,라스트 엑소시즘,공포(호러)|스릴러,2010,104936,F,27234
F1635,선샤인,SF|스릴러,2007,104428,F,20431
F1636,바닷마을 다이어리,드라마,2015,104254,F,34516
F1637,블러드,액션|판타지,2009,103918,F,23935
F1638,킹 오브 프리즘,드라마|뮤직|하이틴(고교),2016,103852,F,41171
F1639,돈 세이 워드,드라마|범죄|스릴러,2002,103777,F,07824
F1640,비독,액션|시대극/사극|드라마|범죄|미스터리|판타지|스릴러,2001,103650,F,07795
F1641,베리 굿 걸,드라마|멜로드라마,2014,103625,F,33454
F1642,다이버전트 시리즈: 얼리전트,액션|미스터리|어드벤처|SF,2016,103554,F,35518
F1643,바이센테니얼 맨,드라마|SF,2000,103464,F,06842
F1644,람보 : 라스트 워,액션|어드벤처|스릴러|서부,2019,103199,F,48999
F1645,아트 오브 워,액션|첩보|스릴러,2000,103092,F,07280
F1646,공포의 묘지,공포|스릴러,2019,102826,F,47635
F1647,하우 투 루즈 프렌즈,코메디,2008,102722,F,22691
F1648,원더랜드,어드벤처|코메디|가족|판타지,2019,102715,F,47047
F1649,에볼루션,코메디|SF,2001,102688,F,07537
F1650,레드 플래닛,액션|SF|스릴러,2000,102593,F,07345
F1651,위험한 사돈,액션|코메디,2003,102440,F,08296
F1652,워 호스,드라마|전쟁,2012,102195,F,29164
F1653,거침없이 쏴라! 슛 뎀 업,액션,2007,102152,F,21295
F1654,몬스터 헌터,액션|어드벤처,2021,101793,F,52289
F1655,콜드 체이싱,액션|드라마|스릴러,2019,101694,F,47140
F1656,박스트롤,코메디|가족|어드벤처,2014,101665,F,33439
F1657,일대종사,드라마|무협,2013,101461,F,31219
F1658,R.I.P.D. : 알.아이.피.디.,액션|코메디,2013,101460,F,31034
F1659,라스트 미션,범죄|드라마|미스터리,2019,101293,F,47373
F1660,이도공간,공포(호러)|스릴러,2003,101139,F,08266
F1661,"나를 책임져, 알피",코메디|드라마,2005,100450,F,09850
F1662,21 브릿지: 테러 셧다운,범죄|드라마|스릴러|액션,2020,100092,F,50295
F1663,극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE,액션,2015,100054,F,35263
F1664,딥워터 호라이즌,드라마|스릴러,2017,100021,F,38965
F1665,랜드 오브 데드,액션|공포(호러)|스릴러,2005,100000,F,10699
F1666,트랜스포터,액션|범죄|스릴러,2003,100000,F,08128
F1667,허니,드라마,2004,100000,F,08829
F1668,아드레날린 24,액션,2007,99914,F,21284
F1669,어썰트 13,액션|드라마|범죄|스릴러,2005,99793,F,10604
F1670,알파 독,스릴러|범죄,2009,99692,F,22603
F1671,타운,액션|범죄,2011,98866,F,27412
F1672,굿 셰퍼드,드라마|미스터리|스릴러,2007,98834,F,20095
F1673,엘비스,드라마,2022,98706,F,55953
F1674,라이언,드라마,2017,98660,F,38497
F1675,로덴시아: 마법왕국의 전설,어드벤처|판타지,2013,98575,F,31422
F1676,투게더,드라마,2003,98557,F,08203
F1677,가필드: 마법의 샘물,코메디|아동|가족,2009,98527,F,23704
F1678,빌리와 용감한 녀석들 3,애니메이션|모험,2015,98495,F,34243
F1679,대병소장,액션|코메디,2010,98435,F,26248
F1680,뜨거운 녀석들,액션|코메디|범죄|미스터리,2007,98398,F,20524
F1681,블랙폰,공포|드라마,2022,98336,F,54979
F1682,맥베스,드라마|시대극/사극,2015,98161,F,34507
