번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1667,딥워터 호라이즌,2017-01-25,"100,021","30,009",2017,100021,액션,딥워터 호라이즌,드라마|스릴러
1668,랜드 오브 데드,2005-09-02,"100,000","29,940",2005,100000,공포(호러),랜드 오브 데드,액션|공포(호러)|스릴러
1669,트랜스포터,2003-01-30,"100,000","29,523",2003,100000,액션,트랜스포터,액션|범죄|스릴러
1670,허니,2004-03-26,"100,000","47,300",2004,100000,드라마,허니,드라마
1671,아드레날린24,2007-10-03,"99,914","31,130",2007,99914,액션,아드레날린 24,액션
1672,어썰트 13,2005-07-07,"99,793","30,339",2005,99793,공포(호러),어썰트 13,액션|드라마|범죄|스릴러
1673,알파독,2009-01-29,"99,692","38,703",2009,99692,드라마,알파 독,스릴러|범죄
1674,타운,2011-01-27,"98,866","40,292",2011,98866,드라마,타운,액션|범죄
1675,굿셰퍼드,2007-04-19,"98,834","44,705",2007,98834,미스터리,굿 셰퍼드,드라마|미스터리|스릴러
1676,엘비스,2022-07-13,"98,706","47,318",2022,98706,드라마,엘비스,드라마
1677,라이언,2017-02-01,"98,660","35,523",2017,98660,드라마,라이언,드라마
1678,로덴시아: 마법왕국의 전설,2013-10-02,"98,575","24,021",2013,98575,애니메이션,로덴시아: 마법왕국의 전설,어드벤처|판타지
1679,투게더,2003-03-14,"98,557","45,935",2003,98557,드라마,투게더,드라마
1680,가필드-마법의 샘물,2009-02-19,"98,527","28,165",2009,98527,애니메이션,가필드: 마법의 샘물,코메디|아동|가족
1681,빌리와 용감한 녀석들 3,2015-04-30,"98,495","23,652",2015,98495,애니메이션,빌리와 용감한 녀석들 3,애니메이션|모험
1682,대병소장,2010-03-11,"98,435","17,622",2010,98435,액션,대병소장,액션|코메디
1683,뜨거운녀석들,2007-06-21,"98,398","32,741",2007,98398,코미디,뜨거운 녀석들,액션|코메디|범죄|미스터리
1684,블랙폰,2022-09-07,"98,336","30,251",2022,98336,공포(호러),블랙폰,공포|드라마
1685,맥베스,2015-12-03,"98,161","49,594",2015,98161,드라마,맥베스,드라마|시대극/사극
1686,이웃집에 신이 산다,2015-12-24,"97,883","51,331",2015,97883,코미디,이웃집에 신이 산다,드라마|판타지
1687,엘리자베스타운,2005-11-18,"97,800","51,266",2005,97800,코미디,엘리자베스타운,코메디|멜로드라마
1688,9:나인,2009-09-09,"97,787","42,859",2009,97787,애니메이션,9 : 나인,SF|어드벤처|판타지
