번호,영화명,개봉일,전국관객수,서울관객수,개봉연도,관객수기준,장르,kmdb제목,kmdb장르
1,어벤져스: 엔드게임,2019-04-24,"13,934,592","3,597,963",2019,13934592,액션,어벤져스: 엔드게임,액션|SF
2,겨울왕국 2,2019-11-21,"13,768,686","3,225,974",2019,13768686,애니메이션,겨울왕국 2,어드벤처|코메디|가족|판타지|뮤지컬
3,아바타,2009-12-17,"13,624,328","3,993,374",2009,13624328,SF,아바타,액션|SF|어드벤처
4,알라딘,2019-05-23,"12,555,894","3,377,404",2019,12555894,어드벤처,알라딘,어드벤처|가족|판타지|뮤지컬|멜로드라마
5,어벤져스: 인피니티 워,2018-04-25,"11,211,880","3,008,819",2018,11211880,액션,어벤져스: 인피니티 워,액션|어드벤처|판타지
6,아바타: 물의 길,2022-12-14,"10,805,065","2,623,216",2022,10805065,액션,아바타: 물의 길,액션|어드벤처|SF|스릴러|판타지
7,어벤져스: 에이지 오브 울트론,2015-04-23,"10,494,499","2,823,388",2015,10494499,액션,어벤져스: 에이지 오브 울트론,SF|액션|판타지
8,겨울왕국,2014-01-16,"10,328,426","3,003,446",2014,10328426,애니메이션,겨울왕국,코메디|가족|어드벤처|판타지
9,인터스텔라,2014-11-06,"10,273,803","3,079,036",2014,10273803,SF,인터스텔라,SF
10,보헤미안 랩소디,2018-10-31,"9,948,386","3,097,336",2018,9948386,드라마,보헤미안 랩소디,드라마
11,아이언맨 3,2013-04-25,"9,001,309","2,595,269",2013,9001309,액션,아이언 맨 3,액션|SF|어드벤처
12,캡틴 아메리카: 시빌 워,2016-04-27,"8,677,249","2,400,069",2016,8677249,액션,캡틴 아메리카: 시빌 워,액션|SF|스릴러
13,탑건: 매버릭,2022-06-22,"8,177,446","2,309,600",2022,8177446,액션,탑건: 매버릭,액션
14,스파이더맨: 파 프롬 홈,2019-07-02,"8,020,208","2,051,196",2019,8020208,액션,스파이더맨: 파 프롬 홈,어드벤처|코메디|SF|액션|판타지
15,트랜스포머 3,2011-06-29,"7,784,807","2,143,018",2011,7784807,액션,트랜스포머 3,액션|SF|어드벤처
16,미션임파서블:고스트프로토콜,2011-12-15,"7,575,899","2,347,164",2011,7575899,액션,미션 임파서블: 고스트 프로토콜,액션
17,스파이더맨: 노 웨이 홈,2021-12-15,"7,551,990","2,041,418",2021,7551990,액션,스파이더맨: 노 웨이 홈,액션|어드벤처|SF
18,트랜스포머: 패자의 역습,2009-06-24,"7,505,700","2,200,557",2009,7505700,SF,트랜스포머: 패자의 역습,액션|SF|어드벤처
19,트랜스포머,2007-06-28,"7,440,531","2,300,866",2007,7440531,SF,트랜스포머,액션|SF|어드벤처
20,스파이더맨: 홈 커밍,2017-07-05,"7,257,973","1,969,107",2017,7257973,액션,스파이더맨: 홈 커밍,액션|SF|어드벤처
21,엘리멘탈,2023-06-14,"7,238,021","1,882,336",2023,7238021,애니메이션,엘리멘탈,어드벤처|판타지|SF
22,어벤져스,2012-04-26,"7,074,867","2,147,619",2012,7074867,액션,어벤져스,액션|SF|어드벤처
23,미션 임파서블: 폴아웃,2018-07-25,"6,584,915","1,686,255",2018,6584915,액션,미션 임파서블: 폴아웃,액션|스릴러
24,다크 나이트 라이즈,2012-07-19,"6,396,528","2,057,529",2012,6396528,액션,다크 나이트 라이즈,액션|범죄|스릴러
25,미션 임파서블: 로그네이션,2015-07-30,"6,126,488","1,669,524",2015,6126488,액션,미션 임파서블: 로그네이션,액션
26,킹스맨 : 시크릿 에이전트,2015-02-11,"6,125,154","1,968,882",2015,6125154,액션,킹스맨: 시크릿 에이전트,액션|코메디|어드벤처
27,반지의 제왕 : 왕의 귀환,2003-12-17,"5,960,000","1,905,567",2003,5960000,판타지,반지의 제왕: 왕의 귀환,액션|드라마|어드벤처|판타지|전쟁
28,인셉션,2010-07-21,"5,926,948","2,026,998",2010,5926948,드라마,인셉션,SF|미스터리|스릴러
29,레미제라블,2012-12-19,"5,911,890","2,190,090",2012,5911890,드라마,레미제라블,드라마
30,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"5,884,587","1,610,656",2022,5884587,액션,닥터 스트레인지: 대혼돈의 멀티버스,액션|판타지|어드벤처
31,캡틴 마블,2019-03-06,"5,801,069","1,650,932",2019,5801069,액션,캡틴 마블,액션|어드벤처|SF
32,미션 임파서블 3,2006-05-03,"5,740,789","1,584,202",2006,5740789,액션,미션 임파서블 3,액션
33,쥬라기 월드: 폴른 킹덤,2018-06-06,"5,661,128","1,342,621",2018,5661128,액션,쥬라기 월드: 폴른 킹덤,SF|액션|어드벤처
34,스즈메의 문단속,2023-03-08,"5,573,669","1,351,471",2023,5573669,애니메이션,스즈메의 문단속,액션|어드벤처|판타지
35,쥬라기 월드,2015-06-11,"5,546,792","1,502,391",2015,5546792,액션,쥬라기 월드,액션|SF|어드벤처
36,앤트맨과 와스프,2018-07-04,"5,447,826","1,503,229",2018,5447826,액션,앤트맨과 와스프,액션|어드벤처|SF
37,닥터 스트레인지,2016-10-26,"5,446,379","1,657,823",2016,5446379,액션,닥터 스트레인지,액션|어드벤처|판타지
38,블랙 팬서,2018-02-14,"5,398,994","1,468,761",2018,5398994,액션,블랙 팬서,액션|드라마|SF
39,트랜스포머: 사라진 시대,2014-06-25,"5,295,801","1,323,527",2014,5295801,액션,트랜스포머4: 사라진 시대,SF|액션|어드벤처
40,조커,2019-10-02,"5,255,228","1,638,904",2019,5255228,액션,조커,액션|드라마|스릴러|범죄
41,월드 워 Z,2013-06-20,"5,237,525","1,562,677",2013,5237525,드라마,월드워Z,SF|드라마|액션|스릴러
42,반지의 제왕 : 두개의 탑,2002-12-19,"5,183,000","1,787,872",2002,5183000,액션,반지의 제왕: 두 개의 탑,액션|드라마|어드벤처|판타지
43,미녀와 야수,2017-03-16,"5,137,993","1,531,839",2017,5137993,멜로/로맨스,미녀와 야수,멜로드라마|판타지|가족
44,쿵푸팬더 2,2011-05-26,"5,062,722","1,575,363",2011,5062722,애니메이션,쿵푸 팬더 2,액션|코메디|어드벤처|가족
45,아쿠아맨,2018-12-19,"5,038,134","1,294,275",2018,5038134,액션,아쿠아맨,액션|어드벤처|SF
46,인사이드 아웃,2015-07-09,"4,968,687","1,594,626",2015,4968687,애니메이션,인사이드 아웃,드라마|아동
47,캐리비안의 해적: 세상의 끝에서,2007-05-23,"4,966,571","1,481,077",2007,4966571,액션,캐리비안의 해적 - 세상의 끝에서,액션|코메디|어드벤처|판타지
48,킹스맨: 골든 서클,2017-09-27,"4,945,484","1,419,759",2017,4945484,액션,킹스맨: 골든 서클,액션|어드벤처|코메디
49,스파이더맨 3,2007-05-01,"4,935,660","1,444,270",2007,4935660,액션,스파이더맨 3,액션|SF
50,마션,2015-10-08,"4,875,494","1,509,471",2015,4875494,액션,마션,액션|SF|어드벤처
51,토르: 라그나로크,2017-10-25,"4,857,152","1,419,464",2017,4857152,액션,토르: 라그나로크,액션|어드벤처|판타지|SF
52,어메이징 스파이더맨,2012-06-28,"4,853,123","1,446,116",2012,4853123,액션,어메이징 스파이더맨,액션|어드벤처|스릴러
53,더 퍼스트 슬램덩크,2023-01-04,"4,780,638","1,561,843",2023,4780638,애니메이션,더 퍼스트 슬램덩크,스포츠
54,라이온 킹,2019-07-17,"4,743,184","1,218,042",2019,4743184,어드벤처,라이온 킹,어드벤처|드라마|가족|뮤지컬
55,주토피아,2016-02-17,"4,703,245","1,465,960",2016,4703245,애니메이션,주토피아,어드벤처|액션|코메디|가족
56,엣지 오브 투모로우,2014-06-04,"4,697,142","1,401,887",2014,4697142,액션,엣지 오브 투모로우,SF|액션
57,쿵푸 팬더,2008-06-05,"4,673,009","1,556,669",2008,4673009,애니메이션,쿵푸 팬더,액션|코메디|가족|어드벤처
58,신비한 동물사전,2016-11-16,"4,666,993","1,425,528",2016,4666993,어드벤처,신비한 동물사전,어드벤처|판타지|가족
59,캐리비안의 해적 : 망자의 함,2006-07-06,"4,628,903","1,525,853",2006,4628903,액션,캐리비안의 해적 - 망자의 함,액션|코메디|어드벤처|판타지
60,박물관이 살아있다!,2006-12-21,"4,612,831","1,226,404",2006,4612831,코미디,박물관이 살아있다,코메디|어드벤처
61,터미네이터 : 미래전쟁의 시작,2009-05-21,"4,568,891","1,367,218",2009,4568891,SF,터미네이터: 미래전쟁의 시작,액션|SF
62,맘마미아!,2008-09-03,"4,554,785","1,646,593",2008,4554785,멜로/로맨스,맘마미아!,코메디|멜로드라마|뮤지컬
63,아이언맨 2,2010-04-29,"4,498,335","1,370,291",2010,4498335,SF,아이언 맨 2,액션|드라마|SF
64,해리포터와 죽음의 성물2,2011-07-13,"4,400,298","1,361,311",2011,4400298,판타지,해리 포터와 죽음의 성물2,어드벤처|미스터리|판타지
65,아이언맨,2008-04-30,"4,316,003","1,329,214",2008,4316003,SF,아이언 맨,액션|드라마|SF|어드벤처|스릴러
66,다크 나이트,2008-08-06,"4,283,639","1,487,898",2008,4283639,범죄,다크 나이트,액션|드라마|범죄|미스터리
67,킹콩,2005-12-14,"4,232,430","1,352,121",2005,4232430,드라마,킹콩,드라마|어드벤처
68,가디언즈 오브 갤럭시: Volume 3,2023-05-03,"4,208,994","1,235,431",2023,4208994,액션,가디언즈 오브 갤럭시: Volume 3,액션|어드벤처|SF
69,어메이징 스파이더맨 2,2014-04-23,"4,168,350","1,187,974",2014,4168350,액션,어메이징 스파이더맨 2,액션|어드벤처|판타지
70,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"4,136,101","1,245,028",2008,4136101,액션,인디아나 존스 4 : 크리스탈 해골의 왕국,액션|어드벤처
71,미이라 3:황제의 무덤,2008-07-30,"4,090,795","1,027,371",2008,4090795,액션,미이라 3: 황제의 무덤,액션|어드벤처|판타지|스릴러
72,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,"4,021,758","1,067,180",2023,4021758,액션,미션 임파서블: 데드 레코닝 PART ONE,액션|어드벤처|스릴러
73,혹성탈출: 반격의 서막,2014-07-10,"4,002,134","1,095,630",2014,4002134,액션,혹성탈출: 반격의 서막,SF|드라마|액션|스릴러
74,해리포터와 비밀의 방,2002-12-13,"4,000,000","1,519,700",2002,4000000,드라마,해리 포터와 비밀의 방,드라마|어드벤처|미스터리|가족|판타지
75,쿵푸팬더3,2016-01-28,"3,984,812","1,045,418",2016,3984812,애니메이션,쿵푸팬더 3,액션|코메디|어드벤처|가족
76,캡틴 아메리카: 윈터 솔져,2014-03-26,"3,963,220","1,237,982",2014,3963220,액션,캡틴 아메리카: 윈터 솔져,SF|액션|어드벤처
77,너의 이름은.,2017-01-04,"3,888,901","1,124,392",2017,3888901,애니메이션,너의 이름은.,멜로/로맨스|드라마|판타지
78,베놈,2018-10-03,"3,888,096","1,026,909",2018,3888096,액션,베놈,SF|스릴러|액션
79,트로이,2004-05-21,"3,851,000","1,513,408",2004,3851000,사극,트로이,액션|시대극/사극|드라마|어드벤처|전쟁
80,매드 맥스: 분노의 도로,2015-05-14,"3,842,441","1,271,954",2015,3842441,액션,매드 맥스: 분노의 도로,액션|SF|어드벤처|스릴러
81,데드풀 2,2018-05-16,"3,784,602","1,145,250",2018,3784602,액션,데드풀 2,액션|SF|코메디|어드벤처
82,미이라,2017-06-06,"3,689,325","909,202",2017,3689325,액션,미이라,액션|어드벤처|판타지
83,분노의 질주: 홉스&쇼,2019-08-14,"3,657,536","839,251",2019,3657536,액션,분노의 질주: 홉스 쇼,액션
84,분노의 질주: 더 익스트림,2017-04-12,"3,653,238","932,027",2017,3653238,액션,분노의 질주: 더 익스트림,액션|범죄|스릴러
85,해리 포터와 불의 잔,2005-12-01,"3,615,000","1,239,817",2005,3615000,액션,해리 포터와 불의 잔,액션|어드벤처|가족|판타지
86,인턴,2015-09-24,"3,610,642","1,228,273",2015,3610642,코미디,인턴,드라마|코메디
87,라라랜드,2016-12-07,"3,597,193","1,536,629",2016,3597193,드라마,라라랜드,코메디|멜로/로맨스|뮤지컬|뮤직
88,리얼 스틸,2011-10-12,"3,579,666","1,090,591",2011,3579666,액션,리얼 스틸,액션|드라마|SF
89,미스터 & 미세스 스미스,2005-06-16,"3,546,900","1,206,120",2005,3546900,멜로/로맨스,미스터 미세스 스미스,액션|코메디|스릴러
90,코코,2018-01-11,"3,510,017","1,024,250",2018,3510017,애니메이션,코코,어드벤처|코메디|뮤지컬
91,매트릭스2 리로디드,2003-05-23,"3,510,000","1,596,000",2003,3510000,SF,매트릭스 2 리로디드,액션|SF|스릴러
92,해리 포터와 불사조 기사단,2007-07-11,"3,475,000","1,134,747",2007,3475000,판타지,해리 포터와 불사조 기사단,액션|어드벤처|가족|판타지
93,아일랜드,2005-07-21,"3,433,900","1,285,400",2005,3433900,SF,아일랜드,액션|드라마|SF|스릴러
94,비긴 어게인,2014-08-13,"3,427,464","1,324,469",2014,3427464,멜로/로맨스,비긴 어게인,코메디|드라마|뮤직|멜로/로맨스
95,토이 스토리 4,2019-06-20,"3,399,913","1,009,214",2019,3399913,애니메이션,토이 스토리 4,어드벤처|코메디|가족|판타지
96,다이 하드 4 : 죽어도 산다,2007-07-17,"3,380,800","990,440",2007,3380800,액션,다이하드 4.0 : 죽어도 산다,액션
97,맨 인 블랙 3,2012-05-24,"3,379,762","1,068,672",2012,3379762,액션,맨 인 블랙 3,액션|코메디|SF
98,어바웃 타임,2013-12-05,"3,375,735","1,368,822",2013,3375735,멜로/로맨스,어바웃 타임,드라마|멜로드라마|코메디|판타지
99,다빈치 코드,2006-05-18,"3,339,082","1,144,795",2006,3339082,미스터리,다빈치 코드,드라마|미스터리|스릴러
100,슈퍼배드 3,2017-07-26,"3,324,861","723,552",2017,3324861,애니메이션,슈퍼배드 3,코메디|액션|어드벤처
101,데드풀,2016-02-17,"3,317,196","1,062,535",2016,3317196,액션,데드풀,액션|SF
102,슈렉2,2004-06-18,"3,300,533","1,285,594",2004,3300533,애니메이션,슈렉 2,코메디|어드벤처|뮤직|가족|판타지
103,스타워즈: 깨어난 포스,2015-12-17,"3,273,879","1,047,074",2015,3273879,액션,스타워즈: 깨어난 포스,액션|어드벤처|판타지
104,분노의 질주: 더 세븐,2015-04-01,"3,247,558","864,171",2015,3247558,액션,분노의 질주: 더 세븐,액션|범죄
105,터미네이터 제니시스,2015-07-02,"3,239,371","852,065",2015,3239371,액션,터미네이터 제니시스,SF|액션|어드벤처
106,오펜하이머,2023-08-15,"3,230,747","1,069,567",2023,3230747,스릴러,오펜하이머,드라마|스릴러
107,그래비티,2013-10-17,"3,227,452","1,311,034",2013,3227452,SF,그래비티,SF|드라마
108,우주전쟁,2005-07-07,"3,223,000","1,006,450",2005,3223000,드라마,우주전쟁,드라마|SF|어드벤처|스릴러
109,캐리비안의 해적: 낯선 조류,2011-05-19,"3,130,046","977,452",2011,3130046,액션,캐리비안의 해적: 낯선 조류,액션|어드벤처|판타지
110,나우 유 씨 미 2,2016-07-13,"3,100,113","850,601",2016,3100113,범죄,나우 유 씨 미 2,범죄|스릴러|미스터리
111,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,"3,049,894","839,897",2017,3049894,액션,캐리비안의 해적: 죽은 자는 말이 없다,액션|어드벤처|코메디
112,이터널스,2021-11-03,"3,049,688","770,301",2021,3049688,액션,이터널스,액션|드라마|판타지|어드벤처
113,토르: 다크 월드,2013-10-30,"3,039,889","885,699",2013,3039889,액션,토르 : 다크 월드,액션|어드벤처
114,인크레더블 2,2018-07-18,"3,033,052","880,527",2018,3033052,애니메이션,인크레더블 2,액션|어드벤처
115,하울의 움직이는 성,2004-12-23,"3,015,165","981,221",2004,3015165,애니메이션,하울의 움직이는 성,SF|어드벤처|판타지
116,투모로우,2004-06-03,"3,006,400","959,010",2004,3006400,SF,투모로우,액션|드라마|SF|어드벤처|재난|스릴러
117,레드: 더 레전드,2013-07-18,"3,004,647","841,287",2013,3004647,액션,레드: 더 레전드,액션|코메디|범죄
118,해리 포터와 혼혈 왕자,2009-07-15,"3,002,669","907,125",2009,3002669,어드벤처,해리 포터와 혼혈왕자,멜로/로맨스|어드벤처|미스터리|판타지|액션
119,드래곤 길들이기 2,2014-07-23,"3,000,056","751,931",2014,3000056,애니메이션,드래곤 길들이기2,액션|가족|어드벤처|판타지
120,황금 나침반,2007-12-18,"2,979,838","883,918",2007,2979838,판타지,황금나침반,드라마|판타지
121,블랙 위도우,2021-07-07,"2,961,507","751,987",2021,2961507,액션,블랙 위도우,액션|어드벤처|SF
122,서치,2018-08-29,"2,949,944","945,989",2018,2949944,드라마,서치,드라마
123,엑스맨: 아포칼립스,2016-05-25,"2,938,818","847,621",2016,2938818,액션,엑스맨: 아포칼립스,액션|어드벤처|판타지|SF
124,300,2007-03-14,"2,929,400","1,076,005",2007,2929400,액션,300,액션|드라마|전쟁
125,솔트,2010-07-29,"2,921,331","837,532",2010,2921331,스릴러,솔트,액션|스릴러
126,원티드,2008-06-26,"2,867,594","994,356",2008,2867594,스릴러,원티드,액션|스릴러
127,슈렉3,2007-06-06,"2,844,159","945,899",2007,2844159,애니메이션,슈렉 3,코메디|어드벤처|가족|판타지
128,앤트맨,2015-09-03,"2,839,921","840,337",2015,2839921,액션,앤트맨,SF
129,쥬라기 월드: 도미니언,2022-06-01,"2,836,786","639,474",2022,2836786,액션,쥬라기 월드: 도미니언,어드벤처|SF|액션
130,호빗: 다섯 군대 전투,2014-12-17,"2,836,774","809,402",2014,2836774,어드벤처,호빗: 다섯 군대 전투,액션|어드벤처|판타지
131,호빗: 뜻밖의 여정,2012-12-13,"2,818,993","910,976",2012,2818993,어드벤처,호빗 : 뜻밖의 여정,어드벤처|판타지
132,메이즈 러너,2014-09-18,"2,812,427","805,570",2014,2812427,액션,메이즈 러너,SF|액션|미스터리
133,해리 포터와 죽음의 성물1,2010-12-15,"2,809,053","866,701",2010,2809053,미스터리,해리 포터와 죽음의 성물 - 1부,어드벤처|미스터리|판타지
134,빅 히어로,2015-01-21,"2,801,949","772,249",2015,2801949,애니메이션,빅 히어로,SF|드라마|코메디|가족
135,덩케르크,2017-07-20,"2,792,705","989,011",2017,2792705,액션,덩케르크,드라마|전쟁|역사
136,혹성탈출: 진화의 시작,2011-08-17,"2,773,794","849,251",2011,2773794,액션,혹성탈출: 진화의 시작,액션|SF|어드벤처
137,메이즈 러너: 스코치 트라이얼,2015-09-16,"2,744,413","697,898",2015,2744413,액션,메이즈 러너: 스코치 트라이얼,액션|SF|스릴러
138,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,"2,735,719","854,131",2017,2735719,액션,가디언즈 오브 갤럭시 2,액션|어드벤처|SF
139,핸콕,2008-07-02,"2,723,518","860,691",2008,2723518,액션,핸콕,액션
140,나우 유 씨 미 : 마술사기단,2013-08-22,"2,718,227","855,244",2013,2718227,범죄,나우 유 씨 미 : 마술사기단,액션|범죄|스릴러
141,미스 페레그린과 이상한 아이들의 집,2016-09-28,"2,718,158","737,280",2016,2718158,미스터리,미스 페레그린과 이상한 아이들의 집,어드벤처|판타지
142,토르: 러브 앤 썬더,2022-07-06,"2,715,682","729,804",2022,2715682,액션,토르: 러브 앤 썬더,액션|어드벤처|판타지
143,적벽대전 2 : 최후의 결전,2009-01-22,"2,713,031","743,318",2009,2713031,액션,적벽대전2: 최후의 결전,액션|시대극/사극|드라마|군사|전쟁
144,지.아이.조 : 전쟁의 서막,2009-08-06,"2,706,748","774,359",2009,2706748,액션,지.아이.조: 전쟁의 서막,액션|SF|어드벤처
145,타이탄,2010-04-01,"2,685,508","798,779",2010,2685508,액션,타이탄,액션|어드벤처|판타지
146,브레이킹 던 part2,2012-11-15,"2,654,817","745,970",2012,2654817,드라마,브레이킹 던 part2,멜로드라마|판타지
147,미니언즈,2015-07-29,"2,625,572","630,536",2015,2625572,애니메이션,미니언즈,코메디|가족
148,트랜스포머: 최후의 기사,2017-06-21,"2,614,601","609,345",2017,2614601,액션,트랜스포머: 최후의 기사,액션|SF|어드벤처
149,제이슨 본,2016-07-27,"2,611,966","797,790",2016,2611966,액션,제이슨 본,액션|스릴러
150,드래곤 길들이기,2010-05-20,"2,603,857","846,400",2010,2603857,애니메이션,드래곤 길들이기,드라마|어드벤처|아동|가족
151,도리를 찾아서,2016-07-06,"2,601,734","724,706",2016,2601734,애니메이션,도리를 찾아서,어드벤처|코메디|아동
152,퍼시픽 림,2013-07-11,"2,539,114","776,183",2013,2539114,액션,퍼시픽 림,SF|액션
153,엑스맨: 퍼스트 클래스,2011-06-02,"2,532,306","870,595",2011,2532306,액션,엑스맨: 퍼스트 클래스,액션|어드벤처
154,정글북,2016-06-09,"2,532,051","702,113",2016,2532051,어드벤처,정글북,어드벤처|드라마|가족
155,해리포터와 아즈카반의 죄수,2004-07-16,"2,532,000","892,900",2004,2532000,드라마,해리 포터와 아즈카반의 죄수,드라마|어드벤처|가족|판타지
156,패션 오브 크라이스트,2004-04-02,"2,523,700","940,230",2004,2523700,드라마,패션 오브 크라이스트,드라마|종교|전기
157,마이펫의 이중생활,2016-08-03,"2,517,805","656,542",2016,2517805,애니메이션,마이펫의 이중생활,아동|코메디|가족
158,"나니아 연대기-사자,마녀 그리고 옷장",2005-12-29,"2,505,133","714,948",2005,2505133,가족,"나니아 연대기 - 사자, 마녀, 그리고 옷장",어드벤처|가족|판타지
159,터미네이터 3,2003-07-25,"2,491,354","832,827",2003,2491354,SF,터미네이터 3,액션|드라마|SF|어드벤처|스릴러
160,보스 베이비,2017-05-03,"2,450,023","582,820",2017,2450023,애니메이션,보스 베이비,코메디|가족
161,신비한 동물들과 그린델왈드의 범죄,2018-11-14,"2,414,062","721,713",2018,2414062,판타지,신비한 동물들과 그린델왈드의 범죄,어드벤처|가족|판타지
162,터미네이터: 다크 페이트,2019-10-30,"2,410,227","623,198",2019,2410227,액션,터미네이터: 다크 페이트,SF|액션|어드벤처
163,슈퍼 마리오 브라더스,2023-04-26,"2,395,519","556,377",2023,2395519,애니메이션,슈퍼 마리오 브라더스,어드벤처|코메디
164,테이큰,2008-04-09,"2,379,830","825,364",2008,2379830,범죄,테이큰,액션|스릴러
165,007 스카이폴,2012-10-26,"2,376,145","793,030",2012,2376145,액션,007 스카이폴,액션
166,스파이더맨 2,2004-06-30,"2,367,704","771,915",2004,2367704,SF,스파이더맨 2,액션|SF|범죄|판타지|스릴러
167,스파이,2015-05-21,"2,315,882","648,385",2015,2315882,액션,스파이,액션
168,모아나,2017-01-12,"2,310,054","572,295",2017,2310054,애니메이션,모아나,어드벤처|코메디
169,테이큰 2,2012-09-27,"2,308,596","692,896",2012,2308596,액션,테이큰 2,드라마|액션|범죄
170,분노의 질주: 더 얼티메이트,2021-05-19,"2,292,415","542,395",2021,2292415,액션,분노의 질주: 더 얼티메이트,액션|어드벤처|범죄|스릴러
171,맘마미아!2,2018-08-08,"2,285,143","732,343",2018,2285143,뮤지컬,맘마미아! 2,뮤지컬|코메디
172,호빗: 스마우그의 폐허,2013-12-12,"2,282,744","471,461",2013,2282744,어드벤처,호빗 : 스마우그의 폐허,SF|드라마|어드벤처|판타지
173,나잇&데이,2010-06-24,"2,282,191","771,899",2010,2282191,액션,나잇 데이,액션|코메디
174,미니언즈2,2022-07-20,"2,269,024","436,111",2022,2269024,애니메이션,미니언즈2,어드벤처|코메디|가족
175,컨저링,2013-09-17,"2,262,758","593,487",2013,2262758,공포(호러),컨저링,공포|스릴러
176,슈렉 포에버,2010-07-01,"2,261,356","767,056",2010,2261356,애니메이션,슈렉 포에버,드라마|어드벤처|아동|가족
177,이글 아이,2008-10-09,"2,258,369","695,165",2008,2258369,액션,이글 아이,액션|미스터리|스릴러
178,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,"2,256,913","663,637",2016,2256913,액션,배트맨 대 슈퍼맨: 저스티스의 시작,SF|액션|어드벤처
179,레디 플레이어 원,2018-03-28,"2,254,430","763,259",2018,2254430,액션,레디 플레이어 원,액션|SF|어드벤처
180,배틀쉽,2012-04-11,"2,241,687","597,715",2012,2241687,SF,배틀쉽,액션|전쟁
181,매트릭스3 레볼루션,2003-11-05,"2,240,000","930,031",2003,2240000,SF,매트릭스 3 레볼루션,액션|SF|스릴러
182,셜록홈즈 : 그림자 게임,2011-12-21,"2,239,156","774,620",2011,2239156,액션,셜록홈즈 : 그림자 게임,액션|미스터리
183,어거스트 러쉬,2007-11-29,"2,233,764","886,657",2007,2233764,드라마,어거스트 러쉬,드라마
184,나는 전설이다,2007-12-12,"2,215,883","793,993",2007,2215883,SF,나는 전설이다,SF
185,포세이돈,2006-05-31,"2,214,600","787,738",2006,2214600,액션,포세이돈,액션|드라마|스릴러
186,셜록 홈즈,2009-12-23,"2,207,751","739,965",2009,2207751,미스터리,셜록 홈즈,드라마|범죄|스릴러
187,007 퀀텀 오브 솔러스,2008-11-05,"2,201,300","717,142",2008,2201300,액션,007 퀀텀 오브 솔러스,액션|첩보
188,이상한 나라의 앨리스,2010-03-04,"2,182,365","760,628",2010,2182365,판타지,이상한 나라의 앨리스,드라마|어드벤처|판타지
189,맨 오브 스틸,2013-06-13,"2,182,227","720,823",2013,2182227,SF,맨 오브 스틸,SF|액션|판타지
190,원더 우먼,2017-05-31,"2,165,401","639,541",2017,2165401,액션,원더우먼,액션|SF|어드벤처|판타지
191,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"2,151,861","512,597",2021,2151861,애니메이션,극장판 귀멸의 칼날: 무한열차편,판타지|액션|시대극/사극
192,겟 아웃,2017-05-17,"2,138,146","630,367",2017,2138146,공포(호러),겟 아웃,공포|미스터리
193,베놈 2: 렛 데어 비 카니지,2021-10-13,"2,123,652","507,629",2021,2123652,액션,베놈 2: 렛 데어 비 카니지,액션|SF|스릴러
194,블랙 팬서: 와칸다 포에버,2022-11-09,"2,105,831","567,795",2022,2105831,액션,블랙 팬서: 와칸다 포에버,액션|어드벤처|SF|드라마
195,이클립스,2010-07-07,"2,105,050","648,625",2010,2105050,판타지,이클립스,드라마|멜로드라마|청춘영화|판타지
196,엑스맨 : 최후의 전쟁,2006-06-15,"2,096,180","699,530",2006,2096180,SF,엑스맨: 최후의 전쟁,액션|SF|스릴러
197,논스톱,2014-02-27,"2,084,457","611,415",2014,2084457,액션,논스톱,액션|미스터리|스릴러
198,장화신은 고양이,2012-01-12,"2,080,154","606,226",2012,2080154,애니메이션,장화 신은 고양이,코메디|어드벤처|판타지
199,인투 더 스톰,2014-08-28,"2,078,492","472,848",2014,2078492,액션,인투 더 스톰,액션|스릴러
200,로건,2017-03-01,"2,070,084","655,286",2017,2070084,액션,로건,액션|드라마|SF
201,본 얼티메이텀,2007-09-12,"2,052,800","762,025",2007,2052800,액션,본 얼티메이텀,액션|어드벤처|미스터리|스릴러
202,혹성탈출: 종의 전쟁,2017-08-15,"2,050,909","538,479",2017,2050909,액션,혹성탈출: 종의 전쟁,액션|SF|어드벤처
203,소울,2021-01-20,"2,048,137","659,789",2021,2048137,애니메이션,소울,어드벤처|가족|SF|판타지|코메디
204,노아,2014-03-20,"2,026,574","596,745",2014,2026574,어드벤처,노아,드라마|어드벤처
205,캐리비안의 해적 : 블랙펄의 저주,2003-09-05,"2,010,460","738,275",2003,2010460,어드벤처,캐리비안의 해적 : 블랙펄의 저주,액션|코메디|어드벤처|판타지
206,레버넌트: 죽음에서 돌아온 자,2016-01-14,"2,007,180","613,536",2016,2007180,어드벤처,레버넌트: 죽음에서 돌아온 자,드라마|어드벤처
207,오페라의 유령,2004-12-08,"2,006,880","803,288",2004,2006880,뮤지컬,오페라의 유령,드라마|뮤지컬|판타지|스릴러
208,페르시아의 왕자: 시간의 모래,2010-05-27,"2,003,533","613,211",2010,2003533,액션,페르시아의 왕자: 시간의 모래,액션|시대극/사극|드라마|멜로드라마
